YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,date,flight_depart_delayed,flight_arrive_delayed
2015,9,26,6,WN,920,N8631A,PHX,MDW,645,649.0,4.0,14.0,703.0,200.0,203.0,185.0,1444,1208.0,4.0,1205,1212.0,7.0,0,0,,,,,,,2015-09-26,0,0
2015,9,27,7,AA,1862,N536UW,BDL,CLT,800,758.0,-2.0,15.0,813.0,138.0,124.0,103.0,644,956.0,6.0,1018,1002.0,-16.0,0,0,,,,,,,2015-09-27,0,0
2015,9,21,1,UA,1992,N15712,ORD,LGA,1357,1801.0,244.0,21.0,1822.0,138.0,124.0,98.0,733,2100.0,5.0,1715,2105.0,230.0,0,0,,0.0,0.0,230.0,0.0,0.0,2015-09-21,1,1
2015,9,10,4,WN,637,N383SW,ABQ,DAL,1015,1015.0,0.0,7.0,1022.0,95.0,91.0,80.0,580,1242.0,4.0,1250,1246.0,-4.0,0,0,,,,,,,2015-09-10,0,0
2015,10,5,1,B6,532,N558JB,12954,14869,1406,1403.0,-3.0,10.0,1413.0,103.0,92.0,80.0,588,1633.0,2.0,1649,1635.0,-14.0,0,0,,,,,,,2015-10-05,0,0
2015,10,3,6,DL,1875,N717JL,12953,15304,1120,1116.0,-4.0,35.0,1151.0,189.0,182.0,143.0,1010,1414.0,4.0,1429,1418.0,-11.0,0,0,,,,,,,2015-10-03,0,0
2015,9,28,1,DL,1983,N916DE,ATL,SAV,1455,1558.0,63.0,17.0,1615.0,67.0,58.0,35.0,214,1650.0,6.0,1602,1656.0,54.0,0,0,,0.0,0.0,54.0,0.0,0.0,2015-09-28,1,1
2015,10,8,4,WN,43,N551WN,12191,12953,1845,1848.0,3.0,10.0,1858.0,210.0,185.0,170.0,1428,2248.0,5.0,2315,2253.0,-22.0,0,0,,,,,,,2015-10-08,0,0
2015,9,19,6,F9,1245,N218FR,ORD,SFO,2120,2149.0,29.0,14.0,2203.0,278.0,255.0,232.0,1846,2355.0,9.0,2358,4.0,6.0,0,0,,,,,,,2015-09-19,1,0
2015,9,25,5,EV,4420,N15985,EWR,BWI,1459,1454.0,-5.0,24.0,1518.0,65.0,76.0,39.0,169,1557.0,13.0,1604,1610.0,6.0,0,0,,,,,,,2015-09-25,0,0
