YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,date,flight_depart_delayed,flight_arrive_delayed,Delay_Total,flight_total_delay,AIR_SYSTEM_DELAY_pct,SECURITY_DELAY_pct,AIRLINE_DELAY_pct,LATE_AIRCRAFT_DELAY_pct,WEATHER_DELAY_pct
2015,12,13,7,DL,1717,N922DX,ORD,MSP,1712,1742.0,30.0,25.0,1807.0,93.0,94.0,65.0,334,1912.0,4.0,1845,1916.0,31.0,0,0,,1.0,0.0,0.0,19.0,11.0,2015-12-13,1,1,31.0,1,3.23,0.0,0.0,61.29,35.48
2015,12,18,5,WN,892,N295WN,PHL,STL,710,714.0,4.0,11.0,725.0,160.0,142.0,126.0,814,831.0,5.0,850,836.0,-14.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-12-18,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
2015,12,21,1,AA,2423,N4XSAA,MSP,DFW,1514,1506.0,-8.0,15.0,1521.0,170.0,158.0,130.0,852,1731.0,13.0,1804,1744.0,-20.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-12-21,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
2015,11,29,7,WN,107,N719SW,PHL,PHX,1350,1405.0,15.0,12.0,1417.0,325.0,338.0,319.0,2075,1736.0,7.0,1715,1743.0,28.0,0,0,,13.0,0.0,15.0,0.0,0.0,2015-11-29,0,1,28.0,1,46.43,0.0,53.57,0.0,0.0
2015,12,9,3,OO,5269,N728SK,IAH,TUS,1747,1742.0,-5.0,22.0,1804.0,164.0,151.0,124.0,936,1908.0,5.0,1931,1913.0,-18.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-12-09,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
2015,12,11,5,VX,411,N634VA,JFK,LAX,1300,1304.0,4.0,15.0,1319.0,380.0,395.0,368.0,2475,1627.0,12.0,1620,1639.0,19.0,0,0,,0.0,0.0,15.0,4.0,0.0,2015-12-11,0,1,19.0,1,0.0,0.0,78.95,21.05,0.0
2015,12,18,5,AA,452,N534UW,PHX,SAN,846,910.0,24.0,17.0,927.0,76.0,75.0,54.0,304,921.0,4.0,902,925.0,23.0,0,0,,0.0,0.0,23.0,0.0,0.0,2015-12-18,1,1,23.0,1,0.0,0.0,100.0,0.0,0.0
2015,12,22,2,WN,1730,N354SW,OAK,PHX,1550,1740.0,110.0,11.0,1751.0,110.0,102.0,84.0,646,2015.0,7.0,1840,2022.0,102.0,0,0,,0.0,0.0,8.0,94.0,0.0,2015-12-22,1,1,102.0,1,0.0,0.0,7.84,92.16,0.0
2015,12,2,3,WN,841,N468WN,SNA,SJC,1400,1356.0,-4.0,10.0,1406.0,75.0,72.0,58.0,342,1504.0,4.0,1515,1508.0,-7.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-12-02,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
2015,11,25,3,AA,999,N3LVAA,JFK,ORD,705,659.0,-6.0,28.0,727.0,162.0,157.0,118.0,740,825.0,11.0,847,836.0,-11.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-11-25,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
2015,12,18,5,UA,2039,N37290,TPA,IAH,840,832.0,-8.0,29.0,901.0,151.0,164.0,122.0,787,1003.0,13.0,1011,1016.0,5.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-12-18,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
2015,12,1,2,OO,4842,N953SW,DTW,DSM,1028,1018.0,-10.0,30.0,1048.0,120.0,121.0,85.0,533,1113.0,6.0,1128,1119.0,-9.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-12-01,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
2015,12,12,6,WN,2872,N768SW,PDX,LAS,1120,1119.0,-1.0,7.0,1126.0,125.0,103.0,89.0,763,1255.0,7.0,1325,1302.0,-23.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-12-12,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
2015,11,27,5,AA,1630,N3NAAA,DFW,BWI,1840,1855.0,15.0,29.0,1924.0,173.0,181.0,146.0,1217,2250.0,6.0,2233,2256.0,23.0,0,0,,8.0,0.0,2.0,13.0,0.0,2015-11-27,0,1,23.0,1,34.78,0.0,8.7,56.52,0.0
2015,11,23,1,NK,292,N629NK,LAS,IAH,1642,1637.0,-5.0,13.0,1650.0,170.0,181.0,141.0,1222,2111.0,27.0,2132,2138.0,6.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-11-23,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
2015,12,10,4,AA,1984,N105UW,EWR,CLT,1030,1027.0,-3.0,11.0,1038.0,119.0,100.0,79.0,529,1157.0,10.0,1229,1207.0,-22.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-12-10,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
2015,12,28,1,UA,1910,N36476,SJU,ORD,1350,1356.0,6.0,11.0,1407.0,320.0,351.0,266.0,2072,1633.0,74.0,1710,1747.0,37.0,0,0,,31.0,0.0,6.0,0.0,0.0,2015-12-28,0,1,37.0,1,83.78,0.0,16.22,0.0,0.0
2015,11,26,4,AA,1662,N3CCAA,DFW,EWR,1845,1842.0,-3.0,29.0,1911.0,196.0,198.0,165.0,1372,2256.0,4.0,2301,2300.0,-1.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-11-26,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
2015,12,1,2,DL,1452,N901DA,ABQ,ATL,730,725.0,-5.0,14.0,739.0,178.0,161.0,137.0,1269,1156.0,10.0,1228,1206.0,-22.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-12-01,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
2015,11,23,1,WN,349,N396SW,ATL,BWI,1350,1406.0,16.0,16.0,1422.0,105.0,102.0,83.0,577,1545.0,3.0,1535,1548.0,13.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-11-23,1,0,0.0,0,0.0,0.0,0.0,0.0,0.0
2015,11,23,1,OO,4763,N416SW,SLC,PSP,2140,2133.0,-7.0,13.0,2146.0,105.0,97.0,79.0,541,2205.0,5.0,2225,2210.0,-15.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-11-23,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
2015,11,23,1,WN,998,N795SW,RDU,ATL,1130,1130.0,0.0,26.0,1156.0,85.0,93.0,62.0,356,1258.0,5.0,1255,1303.0,8.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-11-23,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
2015,12,14,1,EV,3266,N24103,EWR,MKE,2129,2211.0,42.0,19.0,2230.0,145.0,137.0,113.0,725,2323.0,5.0,2254,2328.0,34.0,0,0,,0.0,0.0,0.0,34.0,0.0,2015-12-14,1,1,34.0,1,0.0,0.0,0.0,100.0,0.0
2015,12,23,3,OO,2973,N906SW,PHX,YUM,2235,2230.0,-5.0,21.0,2251.0,53.0,55.0,31.0,160,2322.0,3.0,2328,2325.0,-3.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-12-23,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
2015,12,5,6,AA,1460,N3EUAA,DCA,DFW,1700,1655.0,-5.0,11.0,1706.0,224.0,188.0,167.0,1192,1853.0,10.0,1944,1903.0,-41.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-12-05,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
2015,12,10,4,DL,675,N916DN,ATL,IND,730,725.0,-5.0,16.0,741.0,93.0,84.0,63.0,432,844.0,5.0,903,849.0,-14.0,0,0,,0.0,0.0,0.0,0.0,0.0,2015-12-10,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0
